,time,VAR
173,2018-01-01 00:00:00.698392,95867.0
174,2018-01-01 00:00:00.702392,124707.0
175,2018-01-01 00:00:00.706392,153546.0
176,2018-01-01 00:00:00.710392,164532.0
177,2018-01-01 00:00:00.714392,163159.0
178,2018-01-01 00:00:00.718392,165905.0
179,2018-01-01 00:00:00.722392,161785.0
180,2018-01-01 00:00:00.726392,165905.0
181,2018-01-01 00:00:00.730392,163159.0
182,2018-01-01 00:00:00.734392,163159.0
183,2018-01-01 00:00:00.738392,164532.0
184,2018-01-01 00:00:00.742392,165905.0
185,2018-01-01 00:00:00.746392,165905.0
186,2018-01-01 00:00:00.750392,168646.0
187,2018-01-01 00:00:00.754392,182210.0
188,2018-01-01 00:00:00.758392,174093.0
189,2018-01-01 00:00:00.762392,172753.0
190,2018-01-01 00:00:00.766392,164009.0
191,2018-01-01 00:00:00.770392,177427.0
192,2018-01-01 00:00:00.774392,183348.0
193,2018-01-01 00:00:00.778392,160579.0
194,2018-01-01 00:00:00.782392,139718.0
195,2018-01-01 00:00:00.786392,106704.0
196,2018-01-01 00:00:00.790392,22109.0
197,2018-01-01 00:00:00.794392,-163731.0
198,2018-01-01 00:00:00.798392,-451470.0
199,2018-01-01 00:00:00.802392,-808960.0
200,2018-01-01 00:00:00.806392,-1197123.0
201,2018-01-01 00:00:00.810392,-1609692.0
202,2018-01-01 00:00:00.814392,-2003186.0
203,2018-01-01 00:00:00.818392,-2383457.0
204,2018-01-01 00:00:00.822392,-2738458.0
205,2018-01-01 00:00:00.826392,-3082187.0
206,2018-01-01 00:00:00.830392,-3411977.0
207,2018-01-01 00:00:00.834392,-3734342.0
208,2018-01-01 00:00:00.838392,-4022935.0
209,2018-01-01 00:00:00.842392,-4287548.0
210,2018-01-01 00:00:00.846392,-4534711.0
211,2018-01-01 00:00:00.850392,-4741721.0
212,2018-01-01 00:00:00.854392,-4896310.0
213,2018-01-01 00:00:00.858392,-4945972.0
214,2018-01-01 00:00:00.862392,-4915567.0
215,2018-01-01 00:00:00.866392,-4835690.0
216,2018-01-01 00:00:00.870392,-4636349.0
217,2018-01-01 00:00:00.874392,-4394262.0
218,2018-01-01 00:00:00.878392,-4118066.0
219,2018-01-01 00:00:00.882392,-3891573.0
220,2018-01-01 00:00:00.886392,-3640542.0
221,2018-01-01 00:00:00.890392,-3421566.0
222,2018-01-01 00:00:00.894392,-3144080.0
223,2018-01-01 00:00:00.898392,-2984252.0
224,2018-01-01 00:00:00.902392,-2830183.0
225,2018-01-01 00:00:00.906392,-2672982.0
226,2018-01-01 00:00:00.910392,-2541699.0
227,2018-01-01 00:00:00.914392,-2457461.0
228,2018-01-01 00:00:00.918392,-2474183.0
229,2018-01-01 00:00:00.922392,-2392600.0
230,2018-01-01 00:00:00.926392,-2376638.0
231,2018-01-01 00:00:00.930392,-2388890.0
232,2018-01-01 00:00:00.934392,-2393771.0
233,2018-01-01 00:00:00.938392,-2437161.0
234,2018-01-01 00:00:00.942392,-2445911.0
235,2018-01-01 00:00:00.946392,-2542075.0
236,2018-01-01 00:00:00.950392,-2580580.0
237,2018-01-01 00:00:00.954392,-2594086.0
238,2018-01-01 00:00:00.958392,-2650334.0
239,2018-01-01 00:00:00.962392,-2683918.0
240,2018-01-01 00:00:00.966392,-2678573.0
241,2018-01-01 00:00:00.970392,-2642702.0
242,2018-01-01 00:00:00.974392,-2628307.0
243,2018-01-01 00:00:00.978392,-2595125.0
244,2018-01-01 00:00:00.982392,-2481940.0
245,2018-01-01 00:00:00.986392,-2315900.0
246,2018-01-01 00:00:00.990392,-2186804.0
247,2018-01-01 00:00:00.994392,-2028834.0
248,2018-01-01 00:00:00.998392,-1737278.0
249,2018-01-01 00:00:01.002392,-1528323.0
250,2018-01-01 00:00:01.006392,-1340081.0
251,2018-01-01 00:00:01.010392,-1018578.0
252,2018-01-01 00:00:01.014392,-668127.0
253,2018-01-01 00:00:01.018392,-416939.0
254,2018-01-01 00:00:01.022392,-14583.0
255,2018-01-01 00:00:01.026392,424677.0
256,2018-01-01 00:00:01.030392,773568.0
257,2018-01-01 00:00:01.034392,1269135.0
258,2018-01-01 00:00:01.038392,1665174.0
259,2018-01-01 00:00:01.042392,2161615.0
260,2018-01-01 00:00:01.046392,2544408.0
261,2018-01-01 00:00:01.050392,2873595.0
262,2018-01-01 00:00:01.054392,3209577.0
263,2018-01-01 00:00:01.058392,3331395.0
264,2018-01-01 00:00:01.062392,3459943.0
265,2018-01-01 00:00:01.066392,3395653.0
266,2018-01-01 00:00:01.070392,3366652.0
267,2018-01-01 00:00:01.074392,3220308.0
268,2018-01-01 00:00:01.078392,3063432.0
269,2018-01-01 00:00:01.082392,2854894.0
270,2018-01-01 00:00:01.086392,2659079.0
271,2018-01-01 00:00:01.090392,2495319.0
272,2018-01-01 00:00:01.094392,2333598.0
273,2018-01-01 00:00:01.098392,2146149.0
274,2018-01-01 00:00:01.102392,2001407.0
275,2018-01-01 00:00:01.106392,1866768.0
276,2018-01-01 00:00:01.110392,1776714.0
277,2018-01-01 00:00:01.114392,1732078.0
278,2018-01-01 00:00:01.118392,1711052.0
279,2018-01-01 00:00:01.122392,1643455.0
280,2018-01-01 00:00:01.126392,1575902.0
281,2018-01-01 00:00:01.130392,1508676.0
282,2018-01-01 00:00:01.134392,1435737.0
283,2018-01-01 00:00:01.138392,1343359.0
284,2018-01-01 00:00:01.142392,1291103.0
285,2018-01-01 00:00:01.146392,1260648.0
286,2018-01-01 00:00:01.150392,1273799.0
287,2018-01-01 00:00:01.154392,1253756.0
288,2018-01-01 00:00:01.158392,1279150.0
289,2018-01-01 00:00:01.162392,1291550.0
290,2018-01-01 00:00:01.166392,1300131.0
291,2018-01-01 00:00:01.170392,1291087.0
292,2018-01-01 00:00:01.174392,1307315.0
293,2018-01-01 00:00:01.178392,1333144.0
294,2018-01-01 00:00:01.182392,1369941.0
295,2018-01-01 00:00:01.186392,1422473.0
296,2018-01-01 00:00:01.190392,1501728.0
297,2018-01-01 00:00:01.194392,1571473.0
298,2018-01-01 00:00:01.198392,1659340.0
299,2018-01-01 00:00:01.202392,1779194.0
300,2018-01-01 00:00:01.206392,1885964.0
301,2018-01-01 00:00:01.210392,1965327.0
302,2018-01-01 00:00:01.214392,2041626.0
303,2018-01-01 00:00:01.218392,2113418.0
304,2018-01-01 00:00:01.222392,2185511.0
305,2018-01-01 00:00:01.226392,2222914.0
306,2018-01-01 00:00:01.230392,2236649.0
307,2018-01-01 00:00:01.234392,2230682.0
308,2018-01-01 00:00:01.238392,2207667.0
309,2018-01-01 00:00:01.242392,2177273.0
310,2018-01-01 00:00:01.246392,2143788.0
311,2018-01-01 00:00:01.250392,2104702.0
312,2018-01-01 00:00:01.254392,2049288.0
313,2018-01-01 00:00:01.258392,1987414.0
314,2018-01-01 00:00:01.262392,1919313.0
315,2018-01-01 00:00:01.266392,1839733.0
316,2018-01-01 00:00:01.270392,1753061.0
317,2018-01-01 00:00:01.274392,1674829.0
318,2018-01-01 00:00:01.278392,1595960.0
319,2018-01-01 00:00:01.282392,1526473.0
320,2018-01-01 00:00:01.286392,1477442.0
321,2018-01-01 00:00:01.290392,1455961.0
322,2018-01-01 00:00:01.294392,1441276.0
323,2018-01-01 00:00:01.298392,1437712.0
324,2018-01-01 00:00:01.302392,1436411.0
325,2018-01-01 00:00:01.306392,1442474.0
326,2018-01-01 00:00:01.310392,1444233.0
327,2018-01-01 00:00:01.314392,1444345.0
328,2018-01-01 00:00:01.318392,1447025.0
329,2018-01-01 00:00:01.322392,1448289.0
330,2018-01-01 00:00:01.326392,1446828.0
331,2018-01-01 00:00:01.330392,1448162.0
332,2018-01-01 00:00:01.334392,1446783.0
333,2018-01-01 00:00:01.338392,1442676.0
334,2018-01-01 00:00:01.342392,1441317.0
335,2018-01-01 00:00:01.346392,1442702.0
336,2018-01-01 00:00:01.350392,1439960.0
